AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
2;2;2;1;4;4;5;5;4;4;3;3;2;3;2;3;3;4;2;2;2;4;3;3;120;53;89;44;566;2;1;0;25-34;1;Nie;B;C
5;4;5;4;2;3;3;3;2;1;3;2;3;3;3;4;4;3;4;3;4;3;3;4;36;26;29;23;253;25;0;0;45-54;1;Nie;C;C
4;4;4;5;5;4;4;4;5;3;3;3;4;3;3;4;5;2;2;2;4;4;3;2;77;79;75;47;572;14;1;1;35-44;1;Nie;A;D
5;5;5;4;5;4;5;5;5;4;2;4;2;4;4;5;5;2;5;5;5;5;4;5;79;60;74;34;482;30;0;0;55-64;2;Nie;C;A
4;2;2;4;3;4;4;1;4;3;3;3;4;4;2;4;4;4;1;1;3;4;3;4;47;39;48;19;379;18;0;1;45-54;1;Tak;B;D
4;4;3;4;3;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;4;5;5;5;60;41;36;27;378;7;1;1;25-34;2;Nie;A;C
4;5;4;4;4;4;3;4;4;3;3;2;2;2;2;5;4;3;3;3;4;4;2;3;114;88;111;98;810;10;1;0;25-34;2;Nie;C;C
2;2;2;4;2;3;4;4;3;3;3;4;4;3;3;2;2;4;3;2;2;3;3;2;51;27;39;15;283;38;0;0;55-64;1;Tak;B;C
2;4;3;2;4;4;4;4;3;3;1;4;4;4;3;3;4;1;2;2;3;4;4;2;107;80;94;59;598;36;1;0;55-64;1;Nie;C;C
4;4;4;4;5;4;5;5;5;4;3;3;3;3;3;4;4;1;4;4;4;5;3;4;47;48;44;24;376;20;1;0;35-44;2;Nie;B;C
4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;5;4;76;68;66;51;540;30;1;1;45-54;2;Tak;A;A
5;4;4;4;4;5;5;5;4;5;1;5;5;5;5;4;4;2;5;5;4;5;5;4;90;41;65;18;389;8;1;0;35-44;2;Nie;A;A
4;4;4;4;3;4;3;4;4;3;3;3;3;3;2;2;4;4;4;4;4;4;3;4;91;68;78;55;627;3;0;0;25-34;2;Nie;C;A
4;2;2;2;4;2;2;2;4;2;4;1;1;1;1;2;2;3;1;1;2;2;1;2;58;27;41;23;261;24;1;1;45-54;1;Nie;B;C
2;4;4;2;4;4;4;4;4;4;2;2;4;2;2;2;4;2;2;2;4;4;2;2;123;78;99;88;726;24;1;1;45-54;1;Nie;C;C
2;2;2;4;3;2;5;4;3;4;3;3;3;3;3;2;3;3;2;3;2;4;3;3;131;87;107;87;718;25;0;1;45-54;2;Nie;B;A
4;5;5;2;4;4;5;5;4;5;3;2;4;4;2;4;4;3;2;2;4;5;3;3;127;72;74;31;612;12;0;0;35-44;2;Nie;C;C
4;2;2;2;5;4;4;4;5;4;4;4;4;4;4;4;4;4;2;2;2;4;4;4;59;44;49;21;316;12;0;0;35-44;2;Nie;A;C
2;2;4;4;4;2;4;4;4;2;2;2;1;2;1;4;4;2;2;2;4;4;2;2;41;45;37;21;340;7;1;0;25-34;2;Tak;B;B
5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;1;5;5;5;5;5;5;141;97;98;65;900;15;1;0;55-64;1;Nie;C;C
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;71;40;47;29;426;20;1;0;45-54;1;Nie;A;A
4;2;4;4;4;4;4;4;4;2;2;3;2;3;2;2;2;1;1;1;4;4;2;1;71;38;73;28;459;5;1;0;25-34;1;Nie;B;D
5;5;5;4;4;5;5;5;4;3;3;4;4;4;4;4;4;4;5;5;5;5;4;4;62;45;54;54;444;12;1;1;35-44;1;Nie;A;A
4;2;4;4;4;4;4;4;4;3;1;1;1;1;1;2;4;4;3;3;4;4;1;3;67;26;46;21;287;8;0;1;25-34;2;Nie;B;A
4;4;4;4;3;2;4;3;4;2;1;1;2;2;1;4;4;2;3;3;4;3;1;3;108;75;90;80;726;12;1;1;35-44;2;Nie;B;D
4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;3;3;1;4;4;4;4;4;3;119;53;83;38;540;25;1;0;45-54;1;Nie;C;D
4;4;4;4;3;4;4;4;2;4;4;2;4;2;3;2;3;2;2;2;4;4;3;2;57;48;60;27;380;7;1;0;25-34;2;Nie;B;A
5;5;4;4;4;5;5;5;3;3;4;3;3;3;3;4;4;3;5;3;4;5;3;4;70;46;61;23;386;6;1;0;25-34;1;Nie;C;C
4;4;4;4;4;4;4;4;4;3;2;3;3;4;3;4;4;4;2;2;4;4;3;4;96;107;83;94;786;19;1;1;35-44;2;Nie;C;C
4;5;4;3;4;4;4;5;4;3;1;2;2;3;2;4;4;1;4;3;4;4;2;4;73;66;76;54;614;6;1;0;35-44;1;Nie;B;B
2;3;5;4;3;4;3;5;4;4;4;2;4;4;3;4;4;3;4;5;3;4;4;4;89;45;60;49;509;30;0;1;55-64;1;Nie;C;C
5;5;4;5;5;4;5;5;5;4;3;3;3;4;3;4;5;3;5;5;5;5;3;5;67;48;65;31;469;30;1;0;45-54;2;Nie;C;C
